section,parameter,value_or_range,units,source,doi,method_temp_buffer,confidence,note
1_binding_kinetics,"k_on (anti-hCG mAb, prior range)",1e5 – 5e6,M^-1 s^-1,Kamat 2017 (Biacore4000 mAb panel 130pM–200nM); Klonisch 1996 (on-rates similar across pairs),10.1016/j.ab.2017.04.020; 10.1002/eji.1830260834,"SPR Biacore, 25°C, HBS-EP",medium,Direct hCG-mAb on-rate rarely tabulated; bracketed from IgG-antigen SPR norms + hCG-specific studies
1_binding_kinetics,k_on (central prior),1e6,M^-1 s^-1,Kamat 2017; general IgG-antigen SPR,10.1016/j.ab.2017.04.020,"SPR, 25°C",medium,Recommended log-mean prior
1_binding_kinetics,"k_off (anti-hCG mAb, prior range)",4e-6 – 1e-3,s^-1,Murthy 1996 solid-phase (0.0025 & 0.00023 min^-1 = 4.2e-5 & 3.8e-6 s^-1); Ashish 2004 (dissociation insignificant),10.1007/bf02703142; 10.1007/bf02702562,"Solid-phase 125I-hCG / SPR, RT",medium,hCG-mAb off-rate is very slow; two-step dissociation reported
1_binding_kinetics,"k_off (two-step, slow/fast components)",3.8e-6 ; 4.2e-5,s^-1,Murthy 1996 (0.00023 & 0.0025 min^-1),10.1007/bf02703142,"Solid-phase 125I-hCG, RT",medium,Converted from per-minute; supports biphasic/heterogeneous off-rate
1_binding_kinetics,"K_D (anti-hCG mAb, prior range)",3e-11 – 1e-8,M,Berger 1984 Ka <1e8–3.7e9 M^-1 (K_D 0.27–>10 nM); Kamat 2017 (down to 130 pM),10.1111/j.1600-0897.1984.tb00188.x; 10.1016/j.ab.2017.04.020,"RIA saturation / SPR, RT–25°C",high,Best hCG mAbs sub-nM; polyclonal Ka 8.9e9–1.8e10 M^-1
1_binding_kinetics,K_D (central prior),1e-9,M,Berger 1984; Klonisch 1996,10.1111/j.1600-0897.1984.tb00188.x,RIA/SPR,high,~1 nM typical high-affinity capture mAb
1_binding_kinetics,Synergistic-pair off-rate reduction,3–50x apparent affinity gain,fold,Klonisch 1996,10.1002/eji.1830260834,"SPR, anti-IgG1 capture",high,"alpha/beta sandwich pairs: slower k_off, unchanged k_on → higher functional affinity"
1_conversion,hCG molar mass,36700–37000,g/mol,"Lapthorn 1994 (crystal structure, intact dimer)",10.1038/369455a0,X-ray structure,high,Model uses 37 kDa
1_conversion,Concentration conversion,1 ng/mL = 27 pM = 2.7e-11 M,—,derived (MW 37 kDa),10.1038/369455a0,—,high,C[M] = C[ng/mL]*1e-6/37000
1_conversion,k_on unit conversion factor,x 2.7e-11,(M^-1 s^-1)->(ng/mL)^-1 s^-1,derived (MW 37 kDa),,—,high,k_on[ng/mL^-1 s^-1] = k_on[M^-1 s^-1]*2.7e-11; e.g. 1e6 -> 2.7e-5
1_transport,hCG diffusion coefficient,4–6e-11,m^2/s,"Stokes–Einstein, Rh~3.2 nm globular 37 kDa",,"aqueous, 25°C",medium,Estimated; no direct hCG D measured in NC
1_transport,Capillary flow velocity (NC),1.7e-5 – 8.3e-5 (1–5 mm/min),m/s,"Washburn wicking, typical NC membranes; Sathishkumar 2020 model",10.1016/j.snb.2020.128756,nitrocellulose,medium,Front velocity decays with sqrt(t) (Washburn)
1_transport,Damköhler number Da = k_on·B_max/k_m,0.6 – 630 (center ~42),dimensionless,this analysis (regime map),,—,medium,Da>1 across most of plausible box → MASS-TRANSPORT LIMITED; use two-compartment capture term
2_identity,Subunit structure,"alpha 92 aa + beta 145 aa, non-covalent heterodimer",—,Lapthorn 1994; r-hCG definition 2020,10.1038/369455a0,X-ray / sequence,high,Cystine-knot; beta seat-belt Cys26-Cys110
2_identity,N-glycosylation sites,"alpha: Asn52,Asn78 ; beta: Asn13,Asn30",—,Gervais 2003; Al Matari 2021; r-hCG def 2020,10.1093/glycob/cwg020,MS glycan mapping,high,4 N-glycans total on dimer
2_identity,O-glycosylation sites (beta CTP),"Ser121,127,132,138",—,Gervais 2003; Al Matari 2021,10.1093/glycob/cwg020,MS,high,4 O-glycans on beta C-terminal peptide
2_identity,Expression system (recombinant standard),"CHO cells (choriogonadotropin alfa, Ovitrelle)",—,Gervais 2003; Lebede 2021,10.1093/glycob/cwg020; 10.1021/acs.analchem.1c02199,CHO recombinant,high,Batch-to-batch consistent glycosylation
2_identity,Glycoform heterogeneity (CHO r-hCG),~1031 glycoforms (50 deconv. signals); 42 alpha + 33 beta intact,glycoforms,Lebede 2021; Al Matari 2021,10.1021/acs.analchem.1c02199; ,HRMS Orbitrap,high,Ovitrelle drug product
2_identity,Beta-subunit variant content (recombinant),beta1 (non-glyc Asn13) + beta2 (full N-glyc),—,Deng 2023,10.1016/j.ab.2023.115089,analytical QC,high,Recombinant contains defined beta glycovariants; QC-relevant
2_identity,Variants in CHO recombinant standard,Predominantly INTACT dimer; NOT nicked/beta-core/hyperglyc,—,Gervais 2003; Muller 2009 (hyperglyc/nicked/beta-core are pregnancy/cancer forms),10.1093/glycob/cwg020; 10.1016/j.ygyno.2008.09.030,—,high,"Recombinant ≈ intact; nicked, free-beta, beta-core, hyperglyc-hCG are degradation/disease isoforms"
2_who_standard,Governing WHO International Standard,"5th IS hCG, NIBSC 07/364",—,Berger 2014,10.1016/j.tem.2014.08.004,—,high,Plus 6 IRRs for variants; enables molar (SI) reporting
2_who_standard,Prior/current IS & IRR,IS 75/589 (recovery 107%); IRR 99/688 for hCG (139%),—,Sturgeon 2009,10.1373/clinchem.2009.124578,UK NEQAS,high,"Between-method CV: hCGbeta 37%, beta-core 57%"
2_who_standard,mIU/mL <-> ng/mL conversion,1 ng ≈ 9.3 mIU (range 8.4–16.8),mIU per ng,Partington 2018 (25 mIU/mL=2.7 ng/mL); McDonough 2003 (8360–16800 IU/mg),10.1016/j.jelechem.2018.02.062; 10.1016/s0015-0282(03)02223-4,clinical urine anchor,medium,Depends on preparation specific activity; 9.3 mIU/ng from experimental LFA anchor
3_ratelaw,Capture-Ab striping concentration,"0.3 – 1.0 mg/mL, 1 µL/cm",mg/mL,"Cate 2021; Walker 2023 (test 0.3, control 1.0 mg/mL)",10.1021/acsomega.1c01253,NC striping,medium,Proxy (anti-nucleocapsid); no hCG-specific published density
3_ratelaw,B_max capture-site surface density,1e-8 – 2e-7 (≈1 µg/cm^2),mol/m^2,derived from striping conc (IgG 150 kDa),,NC,low,ESTIMATE; convert to model µg/cm^2 via IgG MW; accessible fraction unknown
3_ratelaw,Langmuir 1:1 adequacy,Adequate at low mAb/analyte; two-step needed at high load,—,"Ashish 2004 (two-step, surface heterogeneity); Cate 2021 (real-time NC kinetics)",10.1007/bf02702562; 10.1021/acsomega.1c01253,SPR / NC,high,1:1 Langmuir defensible as base model; heterogeneous/bivalent as refinement
3_hook,High-dose hook onset (hCG sandwich LFA),>40 IU/mL (dynamic range top); frank hook ~500 IU/mL+,IU/mL,Sathishkumar 2020 (end-point 0.5–40 IU/mL; expanded 0.5–500),10.1016/j.snb.2020.128756,commercial pregnancy strip,medium,hCG-specific LFA; hook begins above end-point dynamic range
